As_class,ts_soc,ts_silt,ts_ph,ts_clay,ts_cec,ss_soc,ss_silt,ss_ph,ss_clay,ss_cec,fluvisols,et0_yr,ai_et0,elevation,slope,precip,temp,distance_to_river,latitude,longitude
1,259,334,56,264,159,56,323,57,331,140,21,1488,14165,86,0.328490198,2109,24.14166641,868.6613289,26.63203769,93.74196468
0,289,323,56,275,182,57,296,58,359,162,21,1480,14583,82,0.328490198,2159,24.08333317,2313.071192,26.66551084,93.8620756
1,250,314,57,315,207,83,278,57,373,176,6,1483,12481,130,0.464550197,1852,24.01666641,538.051574,26.32634318,94.09256362
0,251,343,53,258,184,68,301,54,358,156,6,1482,14336,91,0.464550197,2126,24.05000003,2081.207152,26.6400072,93.70326386
1,249,350,54,251,173,55,337,56,337,154,7,1488,14382,88,0.464550197,2141,24.13333305,1416.28333,26.64996391,93.64249628
0,262,359,55,269,176,67,344,56,332,158,7,1489,14335,82,0.464550197,2136,24.12499984,344.4501219,26.63368371,93.57631063
1,302,304,56,255,197,75,280,57,343,169,8,1451,14430,114,0.464550197,2094,23.83333349,1966.817152,26.56889852,94.25392623
0,265,297,55,283,211,82,263,56,381,177,9,1473,13840,99,0.464550197,2039,23.99999984,2374.927872,26.55377008,94.08416663
0,234,339,54,259,182,75,305,55,339,149,10,1484,14315,94,0.464550197,2125,24.07499981,2001.184094,26.63386725,93.67287249
1,243,319,57,265,180,81,291,58,333,155,10,1457,14843,99,0.464550197,2164,23.92500003,1094.017593,26.63550747,94.2073634
0,247,314,58,274,159,59,300,60,343,156,10,1481,15055,85,0.464550197,2231,24.14999994,499.3815832,26.70052113,93.94033474
0,254,335,55,263,153,63,316,56,344,134,10,1490,14368,80,0.464550197,2142,24.17499987,770.6033982,26.6525205,93.73685106
1,255,316,57,271,152,55,300,59,362,137,10,1489,14476,80,0.464550197,2156,24.15833298,1874.96591,26.66623031,93.68393396
1,256,297,56,263,190,73,263,57,345,160,10,1450,15466,108,0.464550197,2243,23.82499997,2875.786558,26.69411696,94.26864879
1,258,325,55,316,179,70,326,56,337,160,10,1486,12381,114,0.464550197,1841,24.08333333,990.9245237,26.33898823,94.0520899
1,271,332,57,286,178,78,288,58,390,152,10,1489,12107,133,0.464550197,1803,23.99999984,105.8338602,26.26135241,94.05063673
1,326,290,57,304,173,78,270,58,384,150,10,1475,13536,97,0.464550197,1997,24.05833324,1135.397667,26.49323358,94.16113827
1,233,332,57,298,172,70,326,58,359,156,11,1488,12346,110,0.464550197,1838,24.08333333,709.9751678,26.3416394,94.04746025
1,239,339,56,260,178,59,275,57,416,144,11,1483,12568,108,0.464550197,1864,24.04999987,1769.644046,26.37326188,94.06587425
1,248,331,54,265,185,59,313,55,331,160,11,1465,14817,89,0.464550197,2171,23.96666654,1307.87615,26.65301965,94.06845997
0,253,352,55,251,146,48,347,56,305,130,11,1489,14624,83,0.464550197,2179,24.19166644,325.0588043,26.67670075,93.7643389
0,254,326,53,269,162,70,311,54,345,141,11,1468,14561,96,0.464550197,2139,23.9416666,852.2885032,26.63757233,94.01968133
1,257,328,55,277,188,84,312,55,348,169,11,1465,14650,95,0.464550197,2147,23.9749999,462.0863384,26.63996537,94.08920387
1,262,346,57,246,164,43,316,60,348,155,11,1489,14527,78,0.464550197,2164,24.18333308,1234.795393,26.65989147,93.60646798
1,271,313,54,286,231,114,291,55,326,202,11,1427,15504,129,0.464550197,2213,23.60833311,322.8241309,26.68329302,94.42807626
1,276,311,56,274,214,109,290,57,314,185,11,1438,15527,114,0.464550197,2234,23.75,1266.798095,26.69952343,94.39787405
1,288,301,54,281,203,89,280,55,324,173,11,1431,15564,120,0.464550197,2228,23.69999997,1752.977585,26.68807573,94.40145443
0,347,328,58,292,152,183,330,60,331,136,11,1498,14677,77,0.464550197,2200,24.23333343,449.1127871,26.7060591,93.7107075
1,239,343,56,296,157,50,316,57,376,140,12,1493,11982,109,0.464550197,1790,24.11666663,1443.490425,26.27555204,93.99309697
1,283,315,54,253,188,62,272,55,361,160,12,1459,14445,102,0.464550197,2108,23.94999997,1048.490591,26.59051684,94.18974578
1,237,295,55,270,167,60,269,56,359,145,13,1471,13947,95,0.464550197,2052,24.04999987,1714.082111,26.55821402,94.13162659
0,239,334,56,261,152,46,312,58,340,132,13,1483,14853,83,0.464550197,2204,24.17499971,1198.205796,26.69602028,93.79623945
0,262,326,56,271,169,63,303,58,361,156,13,1487,14380,84,0.464550197,2139,24.11666648,1104.004977,26.64095112,93.59445032
0,276,319,54,273,182,62,305,55,343,157,13,1465,14859,93,0.464550197,2178,23.95833317,865.5943871,26.6636451,94.04990305
1,279,346,57,294,165,54,312,58,390,140,13,1492,12007,110,0.464550197,1792,24.11666663,837.3475131,26.28919756,93.98971331
0,296,323,54,282,176,61,293,56,362,149,13,1467,14976,93,0.464550197,2198,23.99999984,655.445383,26.67037875,94.07294671
0,226,310,56,277,183,65,297,57,353,164,14,1468,14820,92,0.464550197,2177,23.99999984,890.4667982,26.66093076,94.00753539
1,230,316,54,266,198,64,278,56,377,163,14,1470,13801,99,0.464550197,2030,23.9749999,1762.417382,26.55385409,94.05946659
1,232,299,55,268,184,71,262,56,354,162,14,1467,14251,99,0.464550197,2091,23.99166663,1055.450674,26.58114169,94.17135508
1,244,324,54,287,205,59,290,54,378,166,14,1477,13569,102,0.464550197,2005,23.96666638,1587.330896,26.54498521,94.01149528
0,252,326,56,258,157,59,298,57,356,137,14,1476,15220,87,0.464550197,2248,24.11666663,950.7444124,26.7108375,93.94894731
0,253,312,53,284,162,52,298,55,366,142,14,1470,14025,100,0.464550197,2062,23.95833317,3498.687519,26.59010379,94.00432223
0,258,348,56,274,145,42,364,59,294,136,14,1495,14539,82,0.464550197,2175,24.19999981,154.1397403,26.68180989,93.7327317
0,269,361,56,260,146,52,360,57,304,130,14,1491,14585,85,0.464550197,2176,24.19166644,281.3666655,26.67957365,93.75723711
1,235,335,55,278,160,52,323,58,358,137,15,1481,13414,99,0.464550197,1987,24.08333317,2165.790715,26.53790554,93.9439611
0,254,336,56,272,160,55,328,58,329,139,15,1488,14238,83,0.464550197,2120,24.14999978,1437.485914,26.64062012,93.745408
0,256,313,54,289,191,84,291,54,377,169,15,1473,13827,103,0.464550197,2037,23.96666638,4537.275801,26.57319204,93.99496258
0,305,342,53,267,190,73,312,55,341,162,15,1481,15312,80,0.464550197,2268,24.13333321,602.084688,26.72592366,93.90611949
1,231,315,54,274,186,70,299,55,351,167,16,1468,14820,93,0.464550197,2177,23.99999984,793.174688,26.65873167,94.00728165
1,235,311,55,275,176,84,291,57,369,158,16,1469,14278,98,0.464550197,2098,23.94999981,775.1598536,26.61406648,94.0095526
0,241,318,55,270,156,72,297,58,371,130,16,1476,14401,94,0.464550197,2127,24.04166651,592.5624382,26.63520898,93.9254174
0,244,301,55,289,170,51,295,57,364,131,16,1467,15501,87,0.464550197,2275,24.04166667,1887.017487,26.72429003,94.06683678
1,284,323,56,261,210,91,276,57,358,185,16,1463,14758,99,0.464550197,2160,23.94166676,841.4829418,26.63631255,94.17531913
1,313,319,55,268,198,93,279,55,369,169,16,1465,14449,97,0.464550197,2117,23.96666654,503.8335232,26.60184155,94.16388168
1,259,326,56,284,178,57,310,57,341,149,17,1465,14717,91,0.464550197,2157,23.96666654,2453.402761,26.64202689,94.06718614
1,267,309,56,270,196,78,266,57,365,170,17,1460,14654,97,0.464550197,2141,23.92500003,279.098159,26.62370951,94.19115114
0,246,328,55,275,187,74,312,57,340,159,18,1465,14717,93,0.464550197,2157,23.96666654,1747.198528,26.64596608,94.07258879
0,268,344,58,262,161,54,333,60,337,144,18,1495,14535,81,0.464550197,2174,24.1916666,263.4612035,26.67941565,93.71017783
1,221,338,56,260,174,74,314,57,345,151,19,1475,14465,90,0.464550197,2134,24.00833305,1597.236459,26.6359072,93.98980982
1,247,326,57,293,169,62,283,59,407,145,5,1482,12637,107,0.656958818,1874,24.04999987,1486.961745,26.37144684,94.08540028
1,253,341,57,307,199,100,312,58,336,169,5,1487,12465,120,0.656958818,1854,24.04999987,828.7039441,26.33778903,94.08894267
0,265,357,53,271,167,81,342,55,332,158,5,1482,14334,89,0.656958818,2125,24.02499994,2108.764434,26.62112279,93.54273153
